iter	Passed	Remaining
0	171	171282
1	172	86138
2	173	57820
3	175	43637
4	176	35100
5	177	29455
6	179	25400
7	180	22338
8	181	19987
9	182	18102
10	184	16553
11	185	15260
12	187	14217
13	188	13278
14	189	12464
15	191	11753
16	192	11146
17	194	10623
18	195	10113
19	197	9657
20	198	9243
21	199	8862
22	200	8515
23	204	8301
24	205	8016
25	207	7786
26	209	7536
27	211	7331
28	212	7112
29	213	6907
30	214	6711
31	216	6534
32	217	6368
33	218	6219
34	220	6077
35	222	5949
36	224	5848
37	226	5725
38	228	5620
39	229	5505
40	230	5393
41	231	5288
42	233	5190
43	234	5094
44	236	5020
45	239	4967
46	241	4888
47	242	4818
48	245	4756
49	246	4679
50	247	4606
51	248	4534
52	249	4464
53	251	4397
54	253	4348
55	254	4289
56	257	4254
57	258	4200
58	261	4163
59	262	4114
60	263	4062
61	264	4008
62	265	3956
63	267	3906
64	268	3858
65	269	3816
66	271	3777
67	272	3733
68	273	3691
69	276	3673
70	277	3634
71	279	3604
72	281	3570
73	282	3531
74	283	3495
75	284	3459
76	285	3426
77	287	3393
78	289	3369
79	290	3336
80	291	3305
81	293	3288
82	294	3253
83	297	3245
84	298	3217
85	300	3190
86	301	3163
87	302	3138
88	306	3134
89	307	3108
90	308	3081
91	309	3055
92	310	3031
93	313	3021
94	314	2997
95	316	2976
96	317	2956
97	318	2933
98	319	2910
99	321	2889
100	322	2867
101	323	2851
102	325	2834
103	326	2814
104	327	2794
105	329	2775
106	331	2769
107	333	2757
108	335	2741
109	338	2736
110	339	2717
111	340	2700
112	341	2684
113	343	2666
114	344	2648
115	345	2631
116	346	2612
117	347	2596
118	348	2580
119	351	2580
120	353	2565
121	354	2548
122	355	2534
123	356	2519
124	357	2505
125	359	2490
126	360	2475
127	361	2461
128	362	2446
129	363	2432
130	364	2419
131	365	2405
132	367	2392
133	370	2394
134	373	2392
135	374	2379
136	375	2367
137	377	2356
138	379	2349
139	380	2336
140	381	2324
141	384	2320
142	385	2308
143	386	2296
144	389	2297
145	390	2286
146	392	2274
147	393	2264
148	394	2253
149	396	2247
150	398	2238
151	399	2228
152	400	2218
153	402	2208
154	403	2199
155	405	2192
156	407	2189
157	409	2181
158	410	2173
159	412	2166
160	413	2155
161	414	2145
162	416	2136
163	417	2127
164	418	2117
165	419	2109
166	421	2100
167	422	2092
168	423	2083
169	426	2082
170	428	2075
171	429	2068
172	432	2067
173	433	2059
174	434	2049
175	435	2041
176	437	2032
177	438	2023
178	439	2015
179	441	2011
180	442	2003
181	445	2003
182	447	1999
183	449	1992
184	450	1986
185	452	1978
186	455	1981
187	457	1974
188	458	1967
189	460	1961
190	461	1955
191	464	1954
192	466	1948
193	468	1944
194	469	1938
195	470	1931
196	472	1924
197	473	1917
198	474	1909
199	475	1902
200	476	1895
201	478	1889
202	479	1883
203	482	1881
204	483	1875
205	485	1871
206	487	1868
207	488	1860
208	489	1853
209	490	1846
210	491	1838
211	493	1832
212	494	1826
213	496	1822
214	497	1816
215	498	1809
216	499	1802
217	501	1800
218	503	1794
219	505	1791
220	506	1785
221	507	1779
222	508	1773
223	510	1766
224	511	1760
225	512	1754
226	513	1749
227	515	1744
228	516	1738
229	517	1732
230	519	1730
231	521	1726
232	523	1721
233	524	1717
234	526	1715
235	528	1711
236	530	1707
237	534	1710
238	535	1706
239	539	1707
240	540	1703
241	542	1700
242	544	1695
243	545	1690
244	547	1686
245	548	1681
246	550	1678
247	554	1681
248	556	1677
249	557	1672
250	559	1668
251	560	1664
252	562	1660
253	565	1661
254	566	1656
255	568	1651
256	569	1646
257	573	1647
258	574	1643
259	576	1642
260	578	1637
261	579	1632
262	581	1629
263	582	1624
264	583	1618
265	585	1614
266	586	1609
267	587	1604
268	591	1606
269	592	1601
270	593	1597
271	595	1593
272	597	1592
273	599	1588
274	600	1584
275	602	1579
276	603	1574
277	604	1570
278	605	1565
279	608	1565
280	610	1561
281	611	1557
282	613	1553
283	614	1549
284	616	1547
285	618	1544
286	621	1544
287	623	1540
288	624	1536
289	628	1537
290	629	1533
291	630	1529
292	632	1527
293	635	1525
294	636	1522
295	638	1517
296	639	1513
297	640	1508
298	641	1504
299	643	1501
300	646	1502
301	648	1498
302	649	1494
303	652	1494
304	654	1490
305	655	1486
306	656	1482
307	657	1477
308	659	1473
309	660	1469
310	662	1466
311	663	1463
312	666	1462
313	667	1459
314	672	1461
315	673	1457
316	674	1453
317	675	1449
318	677	1445
319	678	1441
320	679	1437
321	681	1434
322	686	1438
323	688	1436
324	692	1438
325	693	1434
326	695	1430
327	696	1426
328	697	1422
329	699	1419
330	701	1416
331	703	1416
332	705	1412
333	706	1409
334	708	1406
335	710	1404
336	712	1401
337	713	1397
338	715	1394
339	716	1390
340	717	1387
341	718	1383
342	719	1379
343	722	1378
344	724	1375
345	726	1372
346	727	1369
347	728	1365
348	729	1361
349	731	1357
350	732	1353
351	733	1349
352	734	1346
353	735	1342
354	736	1338
355	738	1335
356	739	1331
357	742	1331
358	745	1330
359	746	1327
360	748	1324
361	749	1320
362	750	1317
363	751	1313
364	752	1309
365	754	1307
366	755	1303
367	756	1299
368	758	1296
369	760	1295
370	762	1292
371	763	1289
372	765	1286
373	768	1286
374	769	1282
375	771	1279
376	772	1277
377	774	1274
378	775	1270
379	776	1267
380	779	1266
381	781	1264
382	783	1262
383	784	1258
384	786	1255
385	787	1252
386	788	1249
387	790	1247
388	791	1243
389	793	1240
390	794	1237
391	795	1233
392	797	1231
393	798	1228
394	800	1225
395	801	1223
396	804	1222
397	805	1219
398	807	1216
399	808	1212
400	809	1209
401	810	1206
402	812	1203
403	813	1199
404	814	1196
405	817	1195
406	818	1192
407	819	1189
408	820	1185
409	821	1182
410	822	1179
411	823	1175
412	825	1172
413	826	1169
414	827	1166
415	828	1163
416	829	1160
417	832	1159
418	835	1158
419	836	1155
420	838	1153
421	840	1150
422	841	1147
423	842	1144
424	843	1141
425	844	1138
426	845	1134
427	846	1131
428	847	1128
429	849	1126
430	850	1122
431	853	1121
432	854	1118
433	855	1115
434	856	1112
435	857	1109
436	859	1106
437	860	1103
438	861	1100
439	862	1097
440	863	1094
441	865	1092
442	866	1089
443	867	1086
444	869	1084
445	872	1083
446	873	1081
447	875	1079
448	877	1076
449	879	1074
450	880	1071
451	881	1068
452	882	1066
453	884	1063
454	885	1060
455	886	1057
456	889	1056
457	891	1054
458	892	1052
459	894	1050
460	896	1048
461	898	1045
462	899	1043
463	901	1041
464	904	1040
465	915	1049
466	917	1047
467	919	1045
468	921	1043
469	924	1042
470	925	1039
471	927	1037
472	931	1037
473	932	1034
474	933	1032
475	935	1029
476	936	1026
477	939	1025
478	940	1022
479	941	1019
480	943	1018
481	947	1018
482	949	1016
483	954	1017
484	956	1016
485	960	1016
486	962	1013
487	964	1011
488	965	1009
489	967	1006
490	968	1004
491	970	1002
492	972	1000
493	973	997
494	975	994
495	977	993
496	979	991
497	982	989
498	983	987
499	984	984
500	986	982
501	988	980
502	989	978
503	990	975
504	992	972
505	993	969
506	994	967
507	997	966
508	999	963
509	1000	961
510	1002	959
511	1003	956
512	1005	954
513	1007	952
514	1008	949
515	1010	947
516	1021	954
517	1023	952
518	1024	949
519	1026	947
520	1028	945
521	1029	943
522	1031	940
523	1032	938
524	1038	939
525	1040	937
526	1041	934
527	1043	932
528	1044	930
529	1046	927
530	1047	925
531	1048	922
532	1050	920
533	1052	918
534	1056	918
535	1057	915
536	1061	914
537	1062	912
538	1063	909
539	1065	907
540	1067	905
541	1068	903
542	1070	900
543	1075	901
544	1076	898
545	1078	896
546	1079	894
547	1081	891
548	1083	889
549	1084	887
550	1089	887
551	1092	886
552	1094	884
553	1095	882
554	1096	879
555	1099	877
556	1100	875
557	1102	873
558	1108	874
559	1112	873
560	1114	871
561	1115	869
562	1117	867
563	1118	864
564	1120	862
565	1121	859
566	1122	857
567	1124	855
568	1133	858
569	1135	856
570	1136	854
571	1138	851
572	1139	849
573	1140	846
574	1142	844
575	1143	841
576	1145	839
577	1147	837
578	1149	835
579	1151	833
580	1152	831
581	1154	829
582	1156	827
583	1159	825
584	1160	823
585	1162	821
586	1163	818
587	1169	819
588	1171	817
589	1173	815
590	1174	812
591	1175	810
592	1177	808
593	1178	805
594	1180	803
595	1181	800
596	1182	798
597	1185	796
598	1186	794
599	1189	792
600	1191	790
601	1192	788
602	1194	786
603	1196	784
604	1197	782
605	1203	782
606	1205	780
607	1208	779
608	1209	776
609	1211	774
610	1213	772
611	1214	769
612	1215	767
613	1217	765
614	1218	762
615	1219	760
616	1221	758
617	1223	755
618	1237	761
619	1238	759
620	1240	757
621	1241	754
622	1243	752
623	1244	750
624	1247	748
625	1248	746
626	1250	743
627	1251	741
628	1253	739
629	1254	736
630	1255	734
631	1257	731
632	1258	729
633	1259	727
634	1261	724
635	1262	722
636	1265	721
637	1270	720
638	1272	718
639	1273	716
640	1275	714
641	1277	712
642	1278	709
643	1280	708
644	1282	705
645	1290	707
646	1292	705
647	1294	703
648	1296	701
649	1297	698
650	1299	696
651	1300	694
652	1304	693
653	1305	690
654	1307	688
655	1308	686
656	1309	683
657	1311	681
658	1312	679
659	1313	676
660	1315	674
661	1316	672
662	1326	674
663	1327	671
664	1329	669
665	1330	667
666	1332	665
667	1333	662
668	1335	660
669	1337	658
670	1339	656
671	1342	655
672	1343	652
673	1346	651
674	1347	648
675	1351	647
676	1353	645
677	1354	643
678	1356	641
679	1358	639
680	1366	640
681	1367	637
682	1369	635
683	1370	633
684	1372	630
685	1373	628
686	1375	626
687	1376	624
688	1377	621
689	1378	619
690	1387	620
691	1389	618
692	1391	616
693	1392	614
694	1394	611
695	1397	610
696	1398	607
697	1401	606
698	1402	604
699	1404	602
700	1409	601
701	1411	599
702	1413	597
703	1415	595
704	1416	592
705	1420	591
706	1423	589
707	1424	587
708	1426	585
709	1427	583
710	1429	580
711	1430	578
712	1432	576
713	1434	574
714	1436	572
715	1438	570
716	1439	568
717	1445	567
718	1447	565
719	1449	563
720	1450	561
721	1452	559
722	1453	557
723	1455	554
724	1457	552
725	1461	551
726	1462	549
727	1465	547
728	1473	547
729	1475	545
730	1477	543
731	1479	541
732	1480	539
733	1482	537
734	1483	534
735	1485	532
736	1486	530
737	1488	528
738	1493	527
739	1495	525
740	1498	523
741	1499	521
742	1500	519
743	1501	516
744	1503	514
745	1504	512
746	1506	510
747	1507	507
748	1509	505
749	1511	503
750	1512	501
751	1513	499
752	1515	497
753	1517	495
754	1519	492
755	1520	490
756	1521	488
757	1522	486
758	1524	484
759	1525	481
760	1526	479
761	1528	477
762	1553	482
763	1556	480
764	1558	478
765	1559	476
766	1560	474
767	1562	471
768	1563	469
769	1564	467
770	1566	465
771	1567	462
772	1568	460
773	1570	458
774	1571	456
775	1572	453
776	1576	452
777	1578	450
778	1579	448
779	1581	446
780	1582	443
781	1584	441
782	1585	439
783	1586	437
784	1592	436
785	1595	434
786	1597	432
787	1598	430
788	1600	427
789	1601	425
790	1603	423
791	1604	421
792	1605	419
793	1607	416
794	1608	414
795	1609	412
796	1611	410
797	1614	408
798	1615	406
799	1617	404
800	1618	402
801	1620	400
802	1621	397
803	1622	395
804	1624	393
805	1625	391
806	1629	389
807	1632	388
808	1634	385
809	1637	384
810	1638	381
811	1640	379
812	1641	377
813	1643	375
814	1644	373
815	1646	371
816	1647	369
817	1648	366
818	1652	365
819	1654	363
820	1655	360
821	1657	358
822	1658	356
823	1659	354
824	1660	352
825	1674	352
826	1679	351
827	1681	349
828	1682	347
829	1684	345
830	1687	343
831	1689	341
832	1690	338
833	1692	336
834	1694	334
835	1696	332
836	1697	330
837	1699	328
838	1702	326
839	1711	325
840	1712	323
841	1713	321
842	1715	319
843	1716	317
844	1732	317
845	1749	318
846	1751	316
847	1752	314
848	1754	312
849	1756	309
850	1758	307
851	1759	305
852	1763	303
853	1765	301
854	1766	299
855	1768	297
856	1772	295
857	1776	294
858	1778	291
859	1779	289
860	1783	287
861	1785	285
862	1787	283
863	1790	281
864	1791	279
865	1793	277
866	1795	275
867	1796	273
868	1798	271
869	1801	269
870	1803	267
871	1805	265
872	1806	262
873	1808	260
874	1810	258
875	1823	258
876	1824	255
877	1826	253
878	1828	251
879	1829	249
880	1833	247
881	1837	245
882	1838	243
883	1840	241
884	1841	239
885	1843	237
886	1844	235
887	1846	232
888	1849	230
889	1851	228
890	1852	226
891	1856	224
892	1858	222
893	1861	220
894	1862	218
895	1864	216
896	1865	214
897	1878	213
898	1881	211
899	1884	209
900	1886	207
901	1888	205
902	1890	203
903	1892	200
904	1899	199
905	1901	197
906	1902	195
907	1904	192
908	1905	190
909	1907	188
910	1908	186
911	1914	184
912	1916	182
913	1919	180
914	1920	178
915	1922	176
916	1924	174
917	1925	172
918	1928	170
919	1930	167
920	1935	166
921	1938	163
922	1939	161
923	1940	159
924	1943	157
925	1944	155
926	1946	153
927	1948	151
928	1950	149
929	1951	146
930	1953	144
931	1954	142
932	1966	141
933	1968	139
934	1970	136
935	1971	134
936	1973	132
937	1976	130
938	1978	128
939	1980	126
940	1982	124
941	1983	122
942	1992	120
943	1995	118
944	1997	116
945	1998	114
946	2000	111
947	2001	109
948	2003	107
949	2004	105
950	2006	103
951	2007	101
952	2009	99
953	2010	96
954	2014	94
955	2015	92
956	2017	90
957	2018	88
958	2020	86
959	2022	84
960	2023	82
961	2025	79
962	2026	77
963	2028	75
964	2029	73
965	2033	71
966	2034	69
967	2036	67
968	2037	65
969	2039	63
970	2043	61
971	2045	58
972	2047	56
973	2048	54
974	2058	52
975	2060	50
976	2061	48
977	2063	46
978	2065	44
979	2066	42
980	2068	40
981	2071	37
982	2073	35
983	2075	33
984	2078	31
985	2080	29
986	2081	27
987	2083	25
988	2084	23
989	2086	21
990	2092	19
991	2094	16
992	2095	14
993	2099	12
994	2101	10
995	2103	8
996	2104	6
997	2106	4
998	2107	2
